localIBGE_id;municipality;state;population;pop_share_above60;gdp_capita;city_exp_health_capita;public_doctors_capita;disease_deaths_capita;death_rate_hospitalization;infant_mortality;sewage_rating;water_service_rating;garbage_service_rating
4313086;Nova Padua;RS;2548;0,235845373;25,96488;1180,910903;0;5,886970173;0,015681254;0;;8,888502259;4,381210256
4313102;Nova Palma;RS;6508;0,192290181;42,15991;935,859138;4,609711125;7,836508912;0,04510334;0;;4,496916336;4,210528037
4313201;Nova Petropolis;RS;21156;0,177917116;36,88975;897,1005365;0;7,231990925;0,05724349;0;;5,946402725;7,408645533
4313300;Nova Prata;RS;26849;0,14634049;46,94658;855,2056691;1,862266751;5,400573578;0,056509815;8,823529412;;5,803503277;1,85
4313334;Nova Ramada;RS;2268;0,194182712;46,01096;1678,061887;4,409171076;6,172839506;0,022299715;0;;7,787685754;1,85
4313359;Nova Roma do Sul;RS;3661;0,206179775;46,22405;1161,33519;2,731494127;6,555585905;0,055806183;0;;4,321035599;4,1
4313375;Nova Santa Rita;RS;28670;0,10247831;42,74968;719,9676599;1,743983258;4,53435647;0,0544279;5,18134715;;4,871710112;1,85
4313391;Novo Cabrais;RS;4169;0,180660955;22,2638;1003,660564;4,797313504;8,635164308;0,052687516;0;10;6,656269448;3,05
4313409;Novo Hamburgo;RS;246452;0,128829521;35,01351;1018,878099;2,393975297;6,528654667;0,070087698;8,277618593;4;6,481003938;6,906340058
4313425;Novo Machado;RS;3394;0,229384134;30,89706;1482,940737;5,892751915;10,31231585;0,02824539;0;;4,893700132;3,05
4313441;Novo Tiradentes;RS;2223;0,183383556;20,42506;1317,115187;4,498425551;9,446693657;0,040062359;0;;8,293700132;3,8
4313466;Novo Xingu;RS;1727;0,141104294;27,45918;1857,92436;11,58077591;6,948465547;0,02698069;0;;7,809411886;3,345244957
4313490;Novo Barreiro;RS;4154;0,19740634;19,43559;945,5181223;4,814636495;7,703418392;0,055053957;0;;2,5;3,05
4313508;Osorio;RS;45557;0,151702927;45,56904;822,0415932;1,756041882;6,936365432;0,063857606;5,952380952;4;5,876280026;8,77925072
4313607;Paim Filho;RS;3880;0,222459133;24,31388;1061,812887;5,154639175;9,020618557;0,01547807;0;;4,453951655;3,05
4313656;Palmares do Sul;RS;11306;0,202681388;43,12714;839,1916434;2,653458341;9,552450027;0,047864033;0;;4,633963379;1,85
4313706;Palmeira das Missoes;RS;33481;0,151607;38,86308;622,8076195;2,986768615;7,885069144;0,058811437;14,22764228;;6,171370833;7,189807375
4313805;Palmitinho;RS;7058;0,176454178;24,96263;742,9374327;7,084159819;6,092377444;0,024330571;10,86956522;;5,860527507;3,219020173
4313904;Panambi;RS;43170;0,133795115;47,20127;921,9690183;2,779708131;6,347000232;0,041682885;10,58201058;;6,79162334;6,952510511
4313953;Pantano Grande;RS;9269;0,169771423;33,71099;634,7539896;9,709785306;9,817671809;0,057851455;8,474576271;;7,107962828;4,781155132
4314001;Parai;RS;7585;0,165162702;34,69241;1087,575539;2,636783125;5,009887937;0,035821984;0;;5,585582236;3,621902017
4314027;Paraiso do Sul;RS;7599;0,189274035;21,00233;509,9370062;1,315962627;9,738123437;0,039180342;14,70588235;;6,682534957;3,05
4314035;Pareci Novo;RS;3812;0,168454936;23,43626;1010,720868;5,246589717;6,29590766;0,052175951;0;;6,734101786;6,65
4314050;Parobe;RS;57660;0,091030331;20,34079;397,8728365;1,734304544;5,168227541;0,044363242;7,389162562;;4,243653869;7,207204611
4314068;Passa Sete;RS;5656;0,138251366;19,30519;622,9053872;5,304101839;3,536067893;0,013373485;0;;4,141790487;1,85
4314076;Passo do Sobrado;RS;6493;0,176627451;26,80057;732,3765671;3,080240259;7,084552595;0,072556572;17,85714286;;5,970693945;3,96167147
4314100;Passo Fundo;RS;201767;0,135858819;43,18362;490,9007324;0,941680255;6,111009233;0,047246311;9,352268791;4;6,328435591;6,675504323
4314134;Paulo Bento;RS;2287;0,269364665;40,70988;1432,44477;4,372540446;3,498032357;0,050304749;0;;7,258791686;3,8
4314159;Paverama;RS;8459;0,189426268;19,5818;587,184127;4,728691335;8,156992552;0,07607553;0;;4,6;6,65
4314175;Pedras Altas;RS;2010;0,164240218;49,66996;1734,069219;4,975124378;6,467661692;0;0;;4,71138088;3,05
4314209;Pedro Osorio;RS;7755;0,201023848;18,95562;570,9601663;2,578981302;12,25016119;0,057470132;13,88888889;;6,968120895;5,45
4314308;Pejucara;RS;3893;0,193588163;54,28619;1230,913131;10,2748523;7,449267917;0,02594104;23,25581395;;6,009423647;6,65
4314407;Pelotas;RS;341648;0,173445252;24,89468;710,5285327;2,224511778;8,862923243;0,072754089;14,18775124;5,231991708;7,9;5,125649601
4314423;Picada Cafe;RS;5696;0,157238388;52,38343;1074,014375;3,511235955;6,495786517;0,048229617;0;;6,821319706;6,796541787
4314456;Pinhal;RS;2577;0,165834933;28,12754;1475,589007;3,88048118;5,820721769;0,037505078;0;4;8,492459731;5,3
4314464;Pinhal da Serra;RS;1965;0,201317027;157,20906;2687,540463;5,089058524;2,544529262;0,048128637;0;;8,179029651;5,147838617
